Game Number	Video Link	Winner	Map Name	Players, Roles and Tasks	Players, Roles and Tasks
12	https://www.youtube.com/watch?v=8A3eWH8-nxE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=7	Crewmate	Polus	Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Imposter Tobi - Crewmate Ethan - Crewmate JJ - Crewmate Randolph - Imposter Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
13	https://www.youtube.com/watch?v=8A3eWH8-nxE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=404s	Imposter	Polus	Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Imposter Josh - Crewmate Vik - Crewmate Tobi - Imposter Ethan - Crewmate JJ - Crewmate Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
14	https://www.youtube.com/watch?v=8A3eWH8-nxE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=600s	Crewmate	Polus	Simon - Imposter,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Imposter Josh - Imposter Vik - Crewmate Tobi - Crewmate Ethan - Crewmate JJ - Crewmate Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
15	https://www.youtube.com/watch?v=3haxqXV_bmU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=8	Crewmate	Polus	Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Imposter,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Imposter Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate JJ - Imposter Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
16	https://www.youtube.com/watch?v=3haxqXV_bmU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=529s	Imposter	Polus	Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Imposter,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Crewmate Josh - Imposter Vik - Crewmate Tobi - Crewmate Ethan - Crewmate JJ - Imposter Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
17	https://www.youtube.com/watch?v=-7OQMT_8FCo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=9	Imposter	Polus	Simon - Imposter,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Imposter Josh - Crewmate Vik - Imposter Tobi - Crewmate Ethan - Crewmate JJ - Crewmate Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
18	https://www.youtube.com/watch?v=-7OQMT_8FCo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=171s	Imposter	Polus	Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Imposter Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate JJ - Crewmate Randolph - Imposter Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
19	https://www.youtube.com/watch?v=-7OQMT_8FCo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=354s	Imposter	Polus	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Imposter,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Fresh - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Imposter Ethan - Imposter JJ - Crewmate Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Crewmate Fresh - Crewmate
20	https://www.youtube.com/watch?v=Vz3ZF20nr2c&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=10	Imposter	Polus	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Imposter,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Imposter,Fresh - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate JJ - Imposter Randolph - Crewmate Lachlan - Crewmate Lazarbeam - Imposter Fresh - Crewmate
21	https://www.youtube.com/watch?v=Vz3ZF20nr2c&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=411s	Imposter	Polus	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Imposter,Lazarbeam - Crewmate,Fresh - Imposter	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate JJ - Crewmate Randolph - Crewmate Lachlan - Imposter Lazarbeam - Crewmate Fresh - Imposter
